"","Cohort","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100","2101","2102","2103","2104","2105","2106","2107","2108","2109","2110","2111","2112","2113","2114","2115","2116","2117","2118","2119","2120","2121","2122","2123","2124","2125","2126","2127","2128","2129","2130","2131","2132","2133","2134","2135","2136","2137","2138","2139","2140","2141","2142","2143","2144","2145","2146","2147","2148","2149","2150"
"130",2034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235436035269.881,238244839749.158,241010394820.454,243739373094.475,246412921961.217,249021223392.225,251547031627.54,253968952754.056,256262056125.595,258402186400.626,260350255334.055,262026397385.46,263398558969.933,264379125768.516,264866678222.051,264730476959.066,263836750134.357,261995060826.991,259024806949.269,254702797988.766,248862161241.881,241372449682.002,232231357746.034,221179632242.206,208180867525.288,193268470456.663,176600275867.965,158441018178.432,139193992752.355,119366380484.966,99563049246.797,80451499243.9534,62694315179.5559,146000271136.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",2035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243703460715.943,246610897427.105,249473566010.964,252298373389.474,255065804936.099,257765697858.601,260380200805.635,262887168608.743,265260795172.675,267476076931.944,269492553042.943,271227553456.582,272647899014.194,273662898786.867,274167571829.253,274026587807.393,273101477427.129,271195116503.007,268120561036.696,263646783096.489,257601050180.673,249848334565.943,240386249728.487,228946438702.626,215491217445.124,200055165911.94,182801661364.534,164004734471.423,144081842466.188,123557976093.065,103059243386.691,83276584075.4271,64895849774.9066,151127125890.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",2036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251943428685.32,254949170054.539,257908629621.048,260828947839.864,263689950266.586,266481130490.207,269184033579.266,271775765604.996,274229647930.584,276519831583.679,278604487680.784,280398150978.377,281866520482.247,282915838871.452,283437575642.404,283291824745.995,282335435040.115,280364617284.29,277186106632.082,272561063761.861,266310915835.148,258296069645.196,248514057976.356,236687450324.169,222777288493.165,206819321637.838,188982451042.151,169549972749.536,148953458828.969,127735650724.262,106543826092.081,86092286336.547,67090072712.5693,156236953518.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",2037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260107981500.669,263211127808.315,266266492491.548,269281447401.067,272235164313.495,275116796343.983,277907290505.136,280583010960.799,283116414518.414,285480814536.23,287633026611.657,289484815889.366,291000769807.045,292084092716.444,292622737042.574,292472262899.769,291484880147.924,289450195492.531,286168681089.72,281393757720.595,274941065662.774,266666488011.017,256567477596.357,244357613419.852,229996674795.296,213521569374.793,195106671906.966,175044459010.115,153780488404.553,131875089772.874,109996516641.771,88882218276.6526,69264213331.7777,161300014163.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",2038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268160303269.578,271359515574.204,274509467049.464,277617757760.945,280662914693.23,283633755167.823,286510636362.354,289269190731.642,291881022411.679,294318618606.038,296537458026.179,298446574276.426,300009458506.129,301126318504.993,301681637972.762,301526505509.944,300508555746.733,298410882114.804,295027779864.869,290105036274.432,283452584284.504,274921845474.717,264510193821.841,251922341416.999,237116822437.618,220131687108.546,201146708404.085,180463417319.975,158541164979.217,135957627532.879,113401746040.533,91633799435.2501,71408467920.1992,166293477293.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",2039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276058828778.484,279352272256.361,282595003952.167,285794847787.561,288929698270.364,291988043341.967,294949661610.643,297789467797.549,300478229652.926,302987624004.904,305271818213.008,307237166512.586,308846084703.339,309995841246.111,310567517366.704,310407815556,309359882599.627,307200423056.475,303717673248.364,298649932746.197,291801536162.313,283019528774.451,272301207211.199,259342586008.329,244100977988.529,226615554126.691,207071382518.751,185778875602.752,163210914455.675,139962190386.163,116741936862.719,94332826448.1696,73511768067.6956,171191567191.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",2040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283771414930.17,287156871283.242,290490199058.447,293779440763.714,297001873319.252,300145663040.282,303190023585.837,306109168839.591,308873049855.413,311452552163.053,313800562640.664,315820819229.702,317474687695.047,318656566363.487,319244214084.591,319080050493.117,318002840178.57,315783049227.648,312202997666.651,306993673628.14,299953945186.16,290926584339.169,279908812188.433,266588150463.706,250920719384.875,232946784293.275,212856583753.905,190969202568.89,167770733260.257,143872481740.033,120003496181.623,96968315608.697,75565554381.6259,175974351050.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",2041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291276942071.861,294751941039.898,298173432670.842,301549672190.532,304857335511.874,308084275958.585,311209157407.591,314205511720.397,317042495180.261,319690223262.463,322100336740.734,324174027502.012,325871639466.533,327084777881.225,327687968414.919,327519462827.646,326413761161.159,324135258513.588,320460517449.893,315113410953.729,307887487320.438,298621359993.492,287312176574.503,273639193992.706,257557371882.87,239108040572.429,218486470284.392,196020185358.896,172208135076.702,147677793902.669,123177492751.752,99533050061.8281,77564202904.8671,180628732001.084,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",2042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298621255316.042,302183873581.243,305691635364.988,309153004041.979,312544067427.073,315852372575.337,319056045390.557,322127950361.466,325036466071.873,327750954482.863,330221837029.268,332347814231.12,334088230112.581,335331956834.272,335950356330.934,335777602011.14,334644020968.636,332308067713.913,328540671017.159,323058741541.947,315650622070.345,306150856813.924,294556521453.371,280538785639.997,264051473352.079,245136957027.933,223995430471.801,200962676285.977,176550224355.047,151401370406.583,126283313916.198,102042695667.838,79519921742.8106,185183139841.536,NA,NA,NA,NA,NA,NA,NA,NA
"139",2043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305852031707.589,309500914749.946,313093613023.113,316638794832.848,320111968987.456,323500381008.008,326781627141.758,329927914821.685,332906856954.722,335687073636.45,338217785812.744,340395241151.154,342177799237.307,343451641396.72,344085014738.684,343908077368.169,342747047941.151,340354532216.927,336495912264.603,330881244059.232,323293745342.424,313563954000.724,301688874905.73,287331715453.289,270445181521.468,251072671549.317,229419226807.918,205828760496.001,180825188616.509,155067383576.427,129341121720.083,104513544281.692,81445406826.5399,189667140400.243,NA,NA,NA,NA,NA,NA,NA
"140",2044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313023918328.127,316758363579.521,320435306591.992,324063618933.333,327618235120.911,331086101597.592,334444289267.79,337664353860.004,340713148840.21,343558558480.475,346148613014.891,348377127235.34,350201484306.502,351505196633.815,352153421869.264,351972335516.141,350784081253.089,348335463722.328,344386363465.998,338640037597.422,330874620557.736,320916676537.257,308763140175.186,294069321459.077,276786817272.958,256960043700.53,234798850000.386,210655213749.496,185065336192.624,158703539554.677,132374025752.699,106964269508.901,83355210139.8034,194114621814.696,NA,NA,NA,NA,NA,NA
"141",2045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320215306843.899,324035546966.297,327796963797.555,331508632720.216,335144912399.088,338692449385.574,342127787812.732,345421829932.453,348540667704.675,351451447577.091,354101005834.204,356380717776.724,358246987493.285,359580651211.881,360243768726.292,360058522108.589,358842968979.346,356338097089.224,352298270493.569,346419928956.415,338476109795.837,328289392700.597,315856641886.522,300825248458.129,283145697289.812,262863424877.119,240193101540.103,215494791162.739,189317013637.822,162349583019.54,135415176900.729,109421658782.707,85270206617.1679,198574196883.328,NA,NA,NA,NA,NA
"142",2046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327544175431.264,331451850592.62,335299356155.646,339095975214.02,342815479571.238,346444210154.117,349958174253.901,353327608153.155,356517827747.824,359495227556.001,362205427087.488,364537315515.287,366446299134.679,367810486834.871,368488781328.7,368299294913.31,367055921036.73,364493719354.688,360361431975.296,354348550983.854,346222919132.048,335803055434.094,323085752336.139,307710330671.846,289626142047.334,268879662877.535,245690476709.732,220426888323.426,193649971758.966,166065329062.072,138514466706.772,111926026752.289,87221812693.9483,203119027073.188,NA,NA,NA,NA
"143",2047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335087841670.103,339085514454.37,343021631874.96,346905690824.381,350710859044.825,354423162881.15,358018057048.791,361465092342.471,364728785848.925,367774758118.764,370547376225.33,372932970349.415,374885919749.181,376281526041.03,376975442327.756,376781591852.853,375509581846.436,372888370126.128,368660912082.346,362509548496.079,354196775308.028,343536931845.854,330526736682.568,314797203853.989,296296518483.645,275072227384.258,251348971329.333,225503537521.625,198109922091.427,169889977797.278,141704591839.392,114503793821.867,89230617286.0109,207797059112.623,NA,NA,NA
"144",2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342933922718.147,347025201001.535,351053482602.547,355028486783.404,358922753009.047,362721980431.228,366401049037.601,369928796654.817,373268909537.276,376386203240.862,379223742194.067,381665194999.123,383663872704.628,385092157114.617,385802321449.613,385603931966.283,384302137848.468,381619550461.711,377293106497.48,370997708746.878,362490291993.598,351580848321.083,338266019467.737,322168179663.872,303234300787.799,281513042960.753,257234306919.438,230783702338.101,202748665465.117,173867951239.717,145022604533.946,117184899892.911,91319951986.1411,212662626777.558,NA,NA
"145",2049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351120059077.968,355308999796.289,359433440045.65,363503331095.667,367490556903.995,371380475248.478,375147366479.834,378759324556.047,382179168890.257,385370875154.516,388276148674.816,390775881119.925,392822269031.837,394284647855.256,395011764441.689,394808639225.743,393475770129.763,390729147006.992,386299426994.817,379853752526.132,371143256202.711,359973394450.803,346340728844.134,329858619351.553,310472772023.157,288233008540.358,263374717573.992,236292713642.639,207588455618.024,178018333173.851,148484422503.313,119982207205.737,93499840092.2975,217739071964.55,NA
"146",2050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359754416217.331,364046366744.583,368272230678.499,372442203999.34,376527479266.064,380513054191.14,384372576656.047,388073356020.58,391577297393.906,394847490577.545,397824207379.176,400385410486.886,402482120912.765,403980460942.922,404725457978.298,404517337731.128,403151692188.752,400337527140.205,395798876340.33,389194696955.938,380270001716.298,368825463046.71,354857557966.914,337970138620.653,318107575921.104,295320916709.507,269851338075.208,242103363379.875,212693241908.279,182395963634.536,152135787614.416,122932677281.71,95799085011.4006,223093471013.902
"147",2051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368890802401.843,373291752056.65,377624936771.418,381900811465.309,386089837098.462,390176630382.622,394134169956.249,397928934961.914,401521863044.26,404875106626.941,407927420649.997,410553668520.563,412703627371.768,414240019507.846,415003936618.459,414790530913.028,413390203197.192,410504569120.019,405850653949.243,399078753668.13,389927405304.546,378192219125.78,363869582681.352,346553287474.637,326186291652.778,302820938451.539,276704529935.883,248251862813.643,218094836744.396,187028123483.422,155999454731.404,126054697092.199,98232015358.6915
"148",2052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378577999829.404,383094519912.906,387541495526.088,391929656137.832,396228687003.084,400422800863.229,404484266766.62,408378683586.756,412065963177.597,415507264072.622,418639732895.852,421334946925.103,423541364424.008,425118102738.011,425902080570.714,425683070759.171,424245969963.175,421284558157.669,416508429598.061,409558696921.682,400167031050.181,388123674907.235,373424921178.187,355653894193.696,334752054162.527,310773118871.543,283970884621.706,254771040822.902,223822081033.814,191939545359.201,160096053255.237,129364936137.068
"149",2053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388874755876.115,393514118558.767,398082045265.396,402589557290.412,407005515372.978,411313702864.633,415485634573.269,419485973713.136,423273541800.509,426808440939.002,430026108234.702,432794628059.233,435061056817.994,436680680058.686,437485980917.273,437261014366.029,435784826575.233,432742868792.6,427836836671.115,420698081647.978,411050976494.758,398680059056.006,383581521183.646,365327148812.891,343856809957.634,319225683448.295,291694468466.081,261700432536.9,229909707275.463,197160014259.061,164450426740.103
"150",2054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399795873346.561,404565527399.582,409261739276.195,413895839791.67,418435815173.472,422864993346.497,427154089143.519,431266773384.239,435160711132.755,438794884004.382,442102915927.733,444949186569.888,447279265473.944,448944374042.243,449772290884.878,449541006396.829,448023361504.413,444895973701.491,439852161093.351,432512922029.987,422594888597.068,409876547622.783,394353984011.43,375586957779.765,353513648201.35,328190783743.037,299886385034.233,269049999775.748,236366467152.032,202697035224.454
"151",2055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411372150146.269,416279911766.771,421112104658.241,425880387725.017,430551820220.779,435109247322.681,439522535897.76,443754304837.284,447760993377.449,451500395427.026,454904212964.386,457832898706.338,460230446136.602,461943768703.527,462795658266.184,462557676827.436,460996087816.21,457778145034.409,452588286469.394,445036536300.836,434831321563.7,421744715068.516,405772688356.151,386462254088.413,363749801490.772,337693701629.408,308569735796.613,276840468557.465,243210568935.816
"152",2056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423634485356.571,428688539374.604,433664772082.613,438575189917.923,443385870224.104,448079146820.923,452623988355.696,456981899449.594,461108020863.241,464958888410.426,468464168216.496,471480153320.548,473949167743.076,475713561671.132,476590844677.112,476345769398.456,474737631956.789,471423767530.648,466079207716.664,458302352149.118,447792936546.767,434316239581.064,417868112711.055,397982065782.219,374592591886.219,347759802035.853,317767698115.518,285092632988.191
"153",2057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436600676377.234,441809419949.805,446937960333.618,451998671447.32,456956592362.907,461793516190.937,466477461801.359,470968755586.345,475221165298.686,479189896442.764,482802462433.31,485910757866.966,488455341474.114,490273738250.138,491177872278.468,490925295974.784,489267938231.237,485852646275.819,480344505389.32,472329623413.834,461498545871.943,447609367313.676,430657812223.584,410163112571.615,386057756477.893,358403694774.447,327493621798.275
"154",2058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450266506605.103,455638286584.2,460927352972.653,466146466999.254,471259573440.613,476247895522.094,481078451087.497,485710324724.256,490095837091.569,494188791602.603,497914432803.942,501120019515.401,503744249924.438,505619563473.551,506551997371.311,506291515296.811,504582281386.378,501060089000.964,495379540414.938,487113788428.708,475943692477.363,461619775343.432,444137627685.593,423001433182.221,398141566796.181,369621918453.049
"155",2059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464615835064.691,470158805736.859,475616426858.43,481001866339.705,486277919930.584,491425212468.36,496409710704.235,501189195311.879,505714467480.33,509937858405.771,513782230288.909,517089974313.767,519797835069.588,521732912091.414,522695061280.162,522426278026.715,520662573356.332,517028133902.361,511166554623.853,502637385331.482,491111314921.944,476330915707.362,458291637827.217,436481864026.106,410829750419.805
"156",2060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479610018951.351,485331873585.848,490965624250.376,496524863812.919,501971187359.678,507284594448.455,512429953502.001,517363682682.649,522034995424.644,526394684546.105,530363122839.8,533777615103.559,536572864534.17,538570390785.037,539563590662.921,539286133177.51,537465509844.107,533713778964.866,527663033517.375,518858609007.427,506960566731.74,491703171239.77,473081725836.902,450568102243.727
"157",2061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495206532344.045,501114456866.392,506931412351.959,512671433697.335,518294867093.308,523781061700.165,529093743491.389,534187913384.702,539011133278.057,543512595813.508,547610084374.191,551135613047.15,554021761632.194,556084245752.357,557109743652.77,556823263483.895,554943435014.902,551069701011.055,544822190423.808,535731453452.989,523446496875.334,507692943747.523,488465944642.396
